Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
Doan Dinh Phuong,2023,Effect of Hf Concentration on the Microstructure and Room Temperature Mechanical Properties of Light-Weight TiVZrNbHfx?(x = 0-1.3) Refractory High Entropy Alloys,TiVZrNbHf0.25,AM,0,0,0,1,1,1,1,0,0,0.25,0,0,0,23.53,23.53,23.53,23.53,0,0,5.88,0,0,1,bcc_A2,0,25,0.0001,0,6.95,1054.7,0,0,0,33.5,0,151.8528465,0,0
Doan Dinh Phuong,2023,Effect of Hf Concentration on the Microstructure and Room Temperature Mechanical Properties of Light-Weight TiVZrNbHfx?(x = 0-1.4) Refractory High Entropy Alloys,TiVZrNb,AM,0,0,0,1,1,1,1,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,1,bcc_A2,0,25,0.0001,0,6.46,1021.3,0,0,0,39.9,0,158.1334244,0,0
Kaixuan Wang,2023,Effect of Oxygen on the Microstructure and Mechanical Properties of Ti1.5ZrNbMoV Refractory High-Entropy Alloy,Ti1.5ZrNbMoV,AM,0,0,0,1,1.5,1,1,0,1,0,0,0,0,18.18,27.27,18.18,18.18,0,18.18,0,0,0,1,bcc_A2,0,25,0.001,0,6.89,1451,0,0,0,26.5,0,210.5505415,410,3.6
Tiandang Huang,2020,Effect of Ti content on microstructure and properties of TixZrVNb refractory high-entropy alloys,TiZrVNb,AM,0,0,0,1,1,1,1,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,2,bcc_A2+V2Zr,0,25,0.001,0,6.45,1229,0,0,0,35.2,0,190.54,434.9,0
Tiandang Huang,2020,Effect of Ti content on microstructure and properties of TixZrVNb refractory high-entropy alloys,Ti1.5ZrVNb,AM,0,0,0,1,1.5,1,1,0,0,0,0,0,0,22.22,33.33,22.22,22.22,0,0,0,0,0,1,bcc_A2,0,25,0.001,0,6.22,1119,0,0,0,50,0,179.9,383.1,0
Tiandang Huang,2020,Effect of Ti content on microstructure and properties of TixZrVNb refractory high-entropy alloys,T2ZrVNb,AM,0,0,0,1,2,1,1,0,0,0,0,0,0,20,40,20,20,0,0,0,0,0,1,bcc_A2,0,25,0.001,0,6.12,1086,0,0,0,50,0,177.45,350.4,0
Zhenghang?Cao,2024,Effect of Ti content on the microstructure and mechanical properties of TixZrNbMoV lightweight refractory high-entropy alloys,TiZrNbMoV,AM,0,0,0,1,1,1,1,0,1,0,0,0,0,20,20,20,20,0,20,0,0,0,2,bcc_A2+hcp,0,25,0.001,0,7.13,2200,0,0,0,20,0,308.5691419,0,0
Zhenghang?Cao,2024,Effect of Ti content on the microstructure and mechanical properties of TixZrNbMoV lightweight refractory high-entropy alloys,Ti1.5ZrNbMoV,AM,0,0,0,1,1.5,1,1,0,1,0,0,0,0,18.18,27.27,18.18,18.18,0,18.18,0,0,0,2,bcc_A2+hcp,0,25,0.001,0,6.89,1688,0,0,0,23,0,244.940947,0,0
Zhenghang?Cao,2024,Effect of Ti content on the microstructure and mechanical properties of TixZrNbMoV lightweight refractory high-entropy alloys,Ti2ZrNbMoV,AM,0,0,0,1,2,1,1,0,1,0,0,0,0,16.67,33.33,16.67,16.67,0,16.67,0,0,0,2,bcc_A2+hcp,0,25,0.001,0,6.69,1585,0,0,0,25.8,0,236.817937,0,0
Tianxin Li,2022,Effect of Zr on the as-cast microstructure and mechanical properties of lightweight Ti2VNbMoZrx refractory high-entropy alloys,Ti2VNbMoZr,AM,0,0,0,1,2,1,1,0,1,0,0,0,0,16.67,33.33,16.67,16.67,0,16.67,0,0,0,1,bcc_A2(1)+bcc_A2(2),0.01,25,0.001,0,6.75,1294,21,0,0,27,3.5,191.7,414,4
